,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.97,0.95,0.97,0.96,0.05,0.03
Shrubland,0.1,0.34,0.1,0.34,0.16,0.9,0.66
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.52,0.2,0.52,0.2,0.29,0.48,0.8
Natural Grassland,0.55,0.58,0.55,0.58,0.57,0.45,0.42
Pastureland,0.78,0.91,0.78,0.91,0.84,0.22,0.09
Cropland,0.15,0.62,0.15,0.62,0.24,0.85,0.38
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.9,0.81,0.9,0.81,0.85,0.1,0.19
