,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,16725.0,20.0,721.0,34.0,69.0,128.0,1.0,0,4.0,2.0,17704,0.94,0.06
Shrubland,49.0,40.0,14.0,45.0,106.0,16.0,0.0,0,13.0,0.0,283,0.14,0.86
Flooded Forest,142.0,3.0,167.0,43.0,12.0,1.0,0.0,0,0.0,5.0,373,0.45,0.55
Wetland,8.0,7.0,25.0,127.0,45.0,2.0,0.0,0,0.0,16.0,230,0.55,0.45
Natural Grassland,15.0,9.0,25.0,195.0,496.0,7.0,0.0,0,5.0,3.0,755,0.66,0.34
Pastureland,353.0,29.0,33.0,15.0,79.0,2970.0,50.0,0,3.0,1.0,3533,0.84,0.16
Cropland,23.0,3.0,0.0,4.0,14.0,84.0,275.0,0,0.0,0.0,403,0.68,0.32
Bareland and Impervious,6.0,0.0,1.0,9.0,16.0,27.0,1.0,0,0.0,4.0,64,0.0,1.0
Rock Outcrop,13.0,1.0,0.0,0.0,11.0,2.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,11.0,1.0,5.0,9.0,5.0,4.0,0.0,0,0.0,344.0,379,0.91,0.09
Total,17345.0,113.0,991.0,481.0,853.0,3241.0,327.0,0,31.0,376.0,23758,,
Accuracy Producer,0.96,0.35,0.17,0.26,0.58,0.92,0.84,0,0.19,0.91,,,
Omission Error,0.04,0.65,0.83,0.74,0.42,0.08,0.16,0,0.81,0.09,,,
