,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.76,0.12,3.8,0.22,0.33,0.73,0.0,0.0,0.03,0.01
Shrubland,18.03,10.16,5.25,23.61,32.46,5.25,0.0,0.0,4.26,0.98
Flooded Forest,37.03,0.54,43.51,10.81,2.16,1.08,0.0,0.0,0.0,4.86
Wetland,3.06,1.31,10.92,49.34,13.1,0.44,0.0,0.0,0.0,21.83
Natural Grassland,2.46,1.04,2.85,34.07,54.27,1.04,0.0,0.0,0.65,3.63
Pastureland,14.32,0.64,1.14,1.25,2.5,79.77,0.27,0.0,0.08,0.04
Cropland,14.06,3.12,0.0,3.12,12.5,43.75,23.44,0.0,0.0,0.0
Bareland and Impervious,8.0,4.0,0.0,12.0,30.0,40.0,0.0,0.0,0.0,6.0
Rock Outcrop,40.0,0.0,0.0,2.86,31.43,5.71,0.0,0.0,17.14,2.86
Water,3.21,0.0,1.34,1.87,0.8,0.53,0.0,0.0,0.0,92.25
