,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.41,0.21,3.35,0.17,0.38,0.45,0.0,0.0,0.03,0.0
Shrubland,21.56,10.62,5.31,21.88,32.19,4.06,0.0,0.0,4.06,0.31
Flooded Forest,36.63,0.53,44.12,12.57,2.41,0.0,0.0,0.0,0.0,3.74
Wetland,4.76,0.0,12.12,55.84,18.18,0.0,0.0,0.0,0.0,9.09
Natural Grassland,3.74,1.44,2.44,25.43,62.64,1.58,0.0,0.0,0.72,2.01
Pastureland,30.62,1.72,1.53,2.01,5.93,57.42,0.57,0.0,0.19,0.0
Cropland,31.25,0.0,0.0,6.25,6.25,50.0,6.25,0.0,0.0,0.0
Bareland and Impervious,10.34,0.0,0.0,17.24,41.38,27.59,0.0,0.0,0.0,3.45
Rock Outcrop,44.12,0.0,0.0,2.94,32.35,2.94,0.0,0.0,14.71,2.94
Water,3.57,0.0,1.62,4.22,1.3,0.32,0.0,0.0,0.0,88.96
