,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.79,0.1,3.89,0.18,0.37,0.65,0.0,0.0,0.02,0.01
Shrubland,17.15,12.77,5.11,17.52,37.23,5.84,0.0,0.0,4.38,0.0
Flooded Forest,37.37,0.81,44.89,11.56,3.49,0.54,0.0,0.0,0.0,1.34
Wetland,3.03,3.03,11.69,58.44,16.02,1.3,0.0,0.0,0.0,6.49
Natural Grassland,1.84,1.38,2.91,21.78,70.4,0.92,0.0,0.0,0.77,0.0
Pastureland,10.79,0.82,0.87,0.33,2.2,83.63,1.25,0.0,0.11,0.0
Cropland,4.78,0.22,0.0,0.22,4.13,22.61,68.04,0.0,0.0,0.0
Bareland and Impervious,8.06,1.61,1.61,11.29,29.03,41.94,1.61,0.0,0.0,4.84
Rock Outcrop,35.29,2.94,0.0,0.0,32.35,8.82,0.0,0.0,17.65,2.94
Water,2.62,0.26,1.57,3.94,0.79,1.05,0.0,0.0,0.0,89.76
