,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.97,0.95,0.97,0.96,0.05,0.03
Shrubland,0.11,0.33,0.11,0.33,0.16,0.89,0.67
Flooded Forest,0.44,0.19,0.44,0.19,0.27,0.56,0.81
Wetland,0.56,0.26,0.56,0.26,0.36,0.44,0.74
Natural Grassland,0.63,0.58,0.63,0.58,0.6,0.37,0.42
Pastureland,0.57,0.83,0.57,0.83,0.68,0.43,0.17
Cropland,0.06,0.14,0.06,0.14,0.09,0.94,0.86
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.15,0.17,0.15,0.17,0.16,0.85,0.83
Water,0.89,0.84,0.89,0.84,0.86,0.11,0.16
