,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.02,0.12,3.74,0.22,0.32,0.54,0.0,0.0,0.03,0.01
Shrubland,18.77,9.39,5.5,23.62,32.36,4.85,0.0,0.0,4.21,1.29
Flooded Forest,36.39,0.81,44.47,11.32,2.16,0.27,0.0,0.0,0.0,4.58
Wetland,3.06,0.87,12.66,50.22,10.04,1.31,0.0,0.0,0.0,21.83
Natural Grassland,2.7,0.9,3.08,33.89,54.69,0.9,0.0,0.0,0.64,3.21
Pastureland,18.81,0.98,1.37,1.45,2.86,74.32,0.09,0.0,0.09,0.04
Cropland,16.67,4.76,0.0,7.14,16.67,47.62,7.14,0.0,0.0,0.0
Bareland and Impervious,8.89,4.44,0.0,8.89,31.11,37.78,0.0,0.0,0.0,8.89
Rock Outcrop,40.0,0.0,0.0,2.86,31.43,5.71,0.0,0.0,17.14,2.86
Water,4.26,0.0,1.33,1.86,1.6,0.53,0.0,0.0,0.0,90.43
