,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,18959.0,34.0,705.0,35.0,74.0,83.0,0.0,0,5.0,1.0,19896,0.95,0.05
Shrubland,73.0,31.0,16.0,72.0,104.0,13.0,0.0,0,13.0,3.0,325,0.1,0.9
Flooded Forest,135.0,2.0,167.0,46.0,7.0,0.0,0.0,0,0.0,17.0,374,0.45,0.55
Wetland,9.0,0.0,28.0,132.0,26.0,0.0,0.0,0,0.0,32.0,227,0.58,0.42
Natural Grassland,22.0,8.0,19.0,237.0,436.0,10.0,0.0,0,5.0,15.0,752,0.58,0.42
Pastureland,359.0,19.0,19.0,23.0,63.0,717.0,5.0,0,2.0,0.0,1207,0.59,0.41
Cropland,5.0,0.0,0.0,1.0,2.0,8.0,2.0,0,0.0,0.0,18,0.11,0.89
Bareland and Impervious,4.0,1.0,0.0,5.0,14.0,8.0,0.0,0,0.0,2.0,34,0.0,1.0
Rock Outcrop,15.0,0.0,0.0,1.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,13.0,0.0,5.0,15.0,4.0,1.0,0.0,0,0.0,303.0,341,0.89,0.11
Total,19594.0,95.0,959.0,567.0,741.0,841.0,7.0,0,31.0,374.0,23209,,
Accuracy Producer,0.97,0.33,0.17,0.23,0.59,0.85,0.29,0,0.19,0.81,,,
Omission Error,0.03,0.67,0.83,0.77,0.41,0.15,0.71,0,0.81,0.19,,,
