,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.4,0.09,4.03,0.24,0.37,0.84,0.0,0.0,0.02,0.01
Shrubland,17.89,11.23,5.26,21.4,35.09,4.56,0.0,0.0,4.56,0.0
Flooded Forest,38.27,0.54,43.94,12.13,2.7,0.27,0.0,0.0,0.0,2.16
Wetland,4.37,2.18,10.48,62.01,10.04,0.0,0.44,0.0,0.0,10.48
Natural Grassland,2.09,1.05,3.53,35.6,54.97,0.79,0.0,0.0,0.65,1.31
Pastureland,10.68,0.59,0.82,1.05,2.03,83.33,1.36,0.0,0.08,0.06
Cropland,7.01,0.37,0.0,3.32,4.43,23.62,61.25,0.0,0.0,0.0
Bareland and Impervious,8.93,5.36,0.0,10.71,26.79,42.86,0.0,0.0,0.0,5.36
Rock Outcrop,38.24,2.94,0.0,0.0,32.35,5.88,0.0,0.0,17.65,2.94
Water,3.21,0.27,1.6,1.6,1.6,0.27,0.0,0.0,0.0,91.44
