,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.14,0.14,3.67,0.26,0.34,0.41,0.0,0.0,0.02,0.02
Shrubland,21.71,9.48,4.89,23.24,31.19,5.5,0.0,0.0,3.98,0.0
Flooded Forest,36.76,0.54,43.78,12.7,2.16,0.0,0.0,0.0,0.0,4.05
Wetland,3.49,1.31,12.23,57.64,12.66,0.0,0.0,0.0,0.0,12.66
Natural Grassland,3.05,1.02,3.3,33.38,54.95,1.02,0.0,0.0,0.63,2.66
Pastureland,28.63,1.26,1.68,1.86,3.9,62.3,0.18,0.0,0.12,0.06
Cropland,17.39,0.0,0.0,8.7,8.7,56.52,8.7,0.0,0.0,0.0
Bareland and Impervious,7.69,2.56,0.0,20.51,28.21,30.77,0.0,0.0,0.0,10.26
Rock Outcrop,42.86,2.86,0.0,0.0,31.43,2.86,0.0,0.0,17.14,2.86
Water,4.63,0.0,1.36,2.18,0.82,0.27,0.0,0.0,0.0,90.74
