,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.07,0.12,3.74,0.18,0.32,0.53,0.0,0.0,0.03,0.01
Shrubland,19.42,9.39,5.5,23.95,32.69,4.53,0.0,0.0,4.21,0.32
Flooded Forest,36.66,0.81,43.4,12.67,2.16,0.54,0.0,0.0,0.0,3.77
Wetland,3.04,0.43,12.61,52.61,13.04,1.3,0.0,0.0,0.0,16.96
Natural Grassland,3.06,0.89,3.06,33.67,55.48,0.64,0.0,0.0,0.64,2.55
Pastureland,21.15,1.02,1.55,1.73,2.93,71.26,0.22,0.0,0.09,0.04
Cropland,21.62,5.41,2.7,5.41,18.92,43.24,2.7,0.0,0.0,0.0
Bareland and Impervious,4.65,4.65,0.0,13.95,32.56,37.21,0.0,0.0,0.0,6.98
Rock Outcrop,40.0,0.0,0.0,2.86,31.43,5.71,0.0,0.0,17.14,2.86
Water,4.05,0.0,1.35,2.7,1.08,0.0,0.0,0.0,0.0,90.81
