,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.68,0.12,3.92,0.19,0.34,0.72,0.0,0.0,0.03,0.01
Shrubland,18.06,10.7,5.02,21.4,34.78,5.69,0.0,0.0,4.35,0.0
Flooded Forest,37.84,0.54,44.32,11.08,2.7,0.81,0.0,0.0,0.0,2.7
Wetland,3.48,1.74,9.57,58.26,15.65,1.3,0.0,0.0,0.0,10.0
Natural Grassland,2.44,0.9,3.34,32.22,58.28,0.9,0.0,0.0,0.64,1.28
Pastureland,15.11,0.81,1.05,0.94,2.33,79.42,0.24,0.0,0.07,0.03
Cropland,8.6,1.08,0.0,3.23,9.68,52.69,24.73,0.0,0.0,0.0
Bareland and Impervious,8.16,4.08,0.0,16.33,30.61,38.78,0.0,0.0,0.0,2.04
Rock Outcrop,42.86,2.86,0.0,0.0,31.43,2.86,0.0,0.0,17.14,2.86
Water,3.22,0.27,1.34,1.88,1.07,0.27,0.0,0.0,0.0,91.96
