,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.72,0.12,3.87,0.18,0.35,0.73,0.0,0.0,0.03,0.01
Shrubland,17.82,10.56,5.28,22.77,33.33,5.94,0.0,0.0,4.29,0.0
Flooded Forest,37.57,0.54,43.78,11.08,2.7,1.35,0.0,0.0,0.0,2.97
Wetland,3.48,1.74,10.43,56.09,14.78,0.87,0.0,0.0,0.0,12.61
Natural Grassland,2.3,1.15,2.94,34.7,55.95,1.15,0.0,0.0,0.64,1.15
Pastureland,14.49,0.69,1.1,1.13,2.41,79.74,0.33,0.0,0.07,0.04
Cropland,11.94,1.49,0.0,0.0,11.94,46.27,28.36,0.0,0.0,0.0
Bareland and Impervious,8.16,4.08,0.0,14.29,26.53,44.9,0.0,0.0,0.0,2.04
Rock Outcrop,40.0,0.0,0.0,2.86,31.43,5.71,0.0,0.0,17.14,2.86
Water,2.97,0.27,1.35,2.43,1.62,0.27,0.0,0.0,0.0,91.08
