,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.65,0.12,3.9,0.19,0.33,0.77,0.01,0.0,0.03,0.01
Shrubland,17.49,10.56,5.28,22.11,33.66,6.6,0.0,0.0,4.29,0.0
Flooded Forest,37.57,0.54,43.24,11.89,2.7,1.35,0.0,0.0,0.0,2.7
Wetland,2.61,1.74,10.0,57.83,14.35,0.87,0.0,0.0,0.0,12.61
Natural Grassland,2.31,1.03,2.95,33.63,57.12,1.03,0.0,0.0,0.64,1.28
Pastureland,13.97,0.74,0.91,0.95,2.42,80.65,0.25,0.0,0.07,0.04
Cropland,7.59,1.27,0.0,0.0,11.39,48.1,31.65,0.0,0.0,0.0
Bareland and Impervious,8.16,4.08,0.0,16.33,30.61,38.78,0.0,0.0,0.0,2.04
Rock Outcrop,42.86,2.86,0.0,0.0,31.43,2.86,0.0,0.0,17.14,2.86
Water,2.67,0.27,1.34,2.94,1.34,0.0,0.0,0.0,0.0,91.44
