,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17221.0,18.0,734.0,43.0,61.0,134.0,0.0,0,5.0,1.0,18217,0.95,0.05
Shrubland,53.0,29.0,13.0,67.0,99.0,15.0,1.0,0,13.0,0.0,290,0.1,0.9
Flooded Forest,140.0,3.0,163.0,43.0,10.0,2.0,0.0,0,0.0,9.0,370,0.44,0.56
Wetland,8.0,4.0,28.0,132.0,33.0,2.0,0.0,0,0.0,22.0,229,0.58,0.42
Natural Grassland,17.0,7.0,26.0,248.0,450.0,7.0,0.0,0,5.0,10.0,770,0.58,0.42
Pastureland,416.0,24.0,28.0,26.0,71.0,2838.0,38.0,0,2.0,1.0,3444,0.82,0.18
Cropland,14.0,1.0,0.0,5.0,14.0,52.0,98.0,0,0.0,0.0,184,0.53,0.47
Bareland and Impervious,3.0,3.0,0.0,6.0,15.0,23.0,0.0,0,0.0,2.0,52,0.0,1.0
Rock Outcrop,15.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,11.0,1.0,4.0,9.0,6.0,1.0,0.0,0,0.0,343.0,375,0.91,0.09
Total,17898.0,91.0,996.0,579.0,770.0,3075.0,137.0,0,31.0,389.0,23966,,
Accuracy Producer,0.96,0.32,0.16,0.23,0.58,0.92,0.72,0,0.19,0.88,,,
Omission Error,0.04,0.68,0.84,0.77,0.42,0.08,0.28,0,0.81,0.12,,,
