,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.53,0.1,4.03,0.24,0.33,0.74,0.0,0.0,0.03,0.01
Shrubland,18.28,10.0,4.48,23.1,34.14,5.17,0.34,0.0,4.48,0.0
Flooded Forest,37.84,0.81,44.05,11.62,2.7,0.54,0.0,0.0,0.0,2.43
Wetland,3.49,1.75,12.23,57.64,14.41,0.87,0.0,0.0,0.0,9.61
Natural Grassland,2.21,0.91,3.38,32.21,58.44,0.91,0.0,0.0,0.65,1.3
Pastureland,12.08,0.7,0.81,0.75,2.06,82.4,1.1,0.0,0.06,0.03
Cropland,7.61,0.54,0.0,2.72,7.61,28.26,53.26,0.0,0.0,0.0
Bareland and Impervious,5.77,5.77,0.0,11.54,28.85,44.23,0.0,0.0,0.0,3.85
Rock Outcrop,42.86,2.86,0.0,0.0,31.43,2.86,0.0,0.0,17.14,2.86
Water,2.93,0.27,1.07,2.4,1.6,0.27,0.0,0.0,0.0,91.47
