,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.95,0.05,0.04
Shrubland,0.13,0.34,0.13,0.34,0.19,0.87,0.66
Flooded Forest,0.45,0.18,0.45,0.18,0.26,0.55,0.82
Wetland,0.58,0.31,0.58,0.31,0.41,0.42,0.69
Natural Grassland,0.7,0.57,0.7,0.57,0.63,0.3,0.43
Pastureland,0.84,0.92,0.84,0.92,0.88,0.16,0.08
Cropland,0.68,0.87,0.68,0.87,0.76,0.32,0.13
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.18,0.19,0.18,0.19,0.18,0.82,0.81
Water,0.9,0.93,0.9,0.93,0.91,0.1,0.07
