,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.35,0.16,3.6,0.19,0.37,0.3,0.0,0.0,0.02,0.01
Shrubland,22.77,9.23,4.92,22.77,32.31,3.38,0.0,0.0,4.0,0.62
Flooded Forest,36.29,0.54,44.35,12.1,1.88,0.0,0.0,0.0,0.0,4.84
Wetland,3.95,0.88,13.16,53.07,14.47,0.0,0.0,0.0,0.0,14.47
Natural Grassland,2.97,1.03,3.49,32.69,56.07,0.9,0.0,0.0,0.65,2.2
Pastureland,29.02,1.71,2.06,1.78,4.13,60.88,0.21,0.0,0.14,0.07
Cropland,20.0,0.0,0.0,10.0,10.0,50.0,10.0,0.0,0.0,0.0
Bareland and Impervious,8.11,2.7,0.0,18.92,35.14,29.73,0.0,0.0,0.0,5.41
Rock Outcrop,42.86,2.86,0.0,0.0,31.43,2.86,0.0,0.0,17.14,2.86
Water,3.35,0.0,1.12,3.63,1.12,0.28,0.0,0.0,0.0,90.5
