,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,16966.0,19.0,725.0,40.0,63.0,147.0,0.0,0,4.0,3.0,17967,0.94,0.06
Shrubland,50.0,33.0,14.0,62.0,100.0,14.0,0.0,0,13.0,0.0,286,0.12,0.88
Flooded Forest,142.0,2.0,163.0,43.0,10.0,1.0,0.0,0,0.0,11.0,372,0.44,0.56
Wetland,8.0,6.0,24.0,127.0,39.0,2.0,1.0,0,0.0,22.0,229,0.55,0.45
Natural Grassland,15.0,10.0,27.0,249.0,438.0,8.0,1.0,0,5.0,7.0,760,0.58,0.42
Pastureland,360.0,25.0,33.0,26.0,76.0,2956.0,48.0,0,3.0,1.0,3528,0.84,0.16
Cropland,21.0,1.0,1.0,6.0,15.0,65.0,194.0,0,0.0,0.0,303,0.64,0.36
Bareland and Impervious,6.0,4.0,0.0,7.0,16.0,22.0,0.0,0,0.0,2.0,57,0.0,1.0
Rock Outcrop,13.0,1.0,0.0,0.0,11.0,2.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,11.0,1.0,5.0,8.0,5.0,1.0,0.0,0,0.0,348.0,379,0.92,0.08
Total,17592.0,102.0,992.0,568.0,773.0,3218.0,244.0,0,31.0,395.0,23915,,
Accuracy Producer,0.96,0.32,0.16,0.22,0.57,0.92,0.8,0,0.19,0.88,,,
Omission Error,0.04,0.68,0.84,0.78,0.43,0.08,0.2,0,0.81,0.12,,,
