,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.96,0.05,0.04
Shrubland,0.09,0.33,0.09,0.33,0.14,0.91,0.67
Flooded Forest,0.44,0.16,0.44,0.16,0.23,0.56,0.84
Wetland,0.54,0.2,0.54,0.2,0.3,0.46,0.8
Natural Grassland,0.55,0.58,0.55,0.58,0.56,0.45,0.42
Pastureland,0.69,0.91,0.69,0.91,0.78,0.31,0.09
Cropland,0.06,0.25,0.06,0.25,0.1,0.94,0.75
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.81,0.91,0.81,0.85,0.09,0.19
