,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,18760.0,26.0,732.0,40.0,67.0,83.0,0.0,0,5.0,2.0,19715,0.95,0.05
Shrubland,63.0,28.0,17.0,77.0,100.0,13.0,0.0,0,13.0,2.0,313,0.09,0.91
Flooded Forest,136.0,2.0,161.0,45.0,7.0,3.0,0.0,0,0.0,16.0,370,0.44,0.56
Wetland,7.0,0.0,29.0,125.0,33.0,1.0,0.0,0,0.0,35.0,230,0.54,0.46
Natural Grassland,24.0,7.0,24.0,272.0,429.0,6.0,0.0,0,5.0,19.0,786,0.55,0.45
Pastureland,505.0,20.0,34.0,34.0,66.0,1460.0,6.0,0,2.0,1.0,2128,0.69,0.31
Cropland,8.0,1.0,1.0,0.0,4.0,15.0,2.0,0,0.0,0.0,31,0.06,0.94
Bareland and Impervious,3.0,1.0,0.0,8.0,12.0,16.0,0.0,0,0.0,3.0,43,0.0,1.0
Rock Outcrop,15.0,0.0,0.0,1.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,15.0,0.0,5.0,10.0,5.0,0.0,0.0,0,0.0,335.0,370,0.91,0.09
Total,19536.0,85.0,1003.0,612.0,734.0,1598.0,8.0,0,31.0,414.0,24021,,
Accuracy Producer,0.96,0.33,0.16,0.2,0.58,0.91,0.25,0,0.19,0.81,,,
Omission Error,0.04,0.67,0.84,0.8,0.42,0.09,0.75,0,0.81,0.19,,,
