,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.43,0.11,4.04,0.22,0.35,0.82,0.0,0.0,0.02,0.02
Shrubland,17.48,11.54,4.9,21.68,34.97,4.9,0.0,0.0,4.55,0.0
Flooded Forest,38.17,0.54,43.82,11.56,2.69,0.27,0.0,0.0,0.0,2.96
Wetland,3.49,2.62,10.48,55.46,17.03,0.87,0.44,0.0,0.0,9.61
Natural Grassland,1.97,1.32,3.55,32.76,57.63,1.05,0.13,0.0,0.66,0.92
Pastureland,10.2,0.71,0.94,0.74,2.15,83.79,1.36,0.0,0.09,0.03
Cropland,6.93,0.33,0.33,1.98,4.95,21.45,64.03,0.0,0.0,0.0
Bareland and Impervious,10.53,7.02,0.0,12.28,28.07,38.6,0.0,0.0,0.0,3.51
Rock Outcrop,38.24,2.94,0.0,0.0,32.35,5.88,0.0,0.0,17.65,2.94
Water,2.9,0.26,1.32,2.11,1.32,0.26,0.0,0.0,0.0,91.82
