,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.96,0.05,0.04
Shrubland,0.1,0.34,0.1,0.34,0.16,0.9,0.66
Flooded Forest,0.43,0.16,0.43,0.16,0.23,0.57,0.84
Wetland,0.55,0.21,0.55,0.21,0.31,0.45,0.79
Natural Grassland,0.55,0.59,0.55,0.59,0.57,0.45,0.41
Pastureland,0.64,0.9,0.64,0.9,0.75,0.36,0.1
Cropland,0.08,0.33,0.08,0.33,0.13,0.92,0.67
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.92,0.77,0.92,0.77,0.83,0.08,0.23
