,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.15,0.16,3.67,0.2,0.35,0.43,0.0,0.0,0.02,0.01
Shrubland,22.42,9.7,5.15,21.52,32.12,4.55,0.0,0.0,3.94,0.61
Flooded Forest,36.49,0.54,43.78,12.43,1.89,0.0,0.0,0.0,0.0,4.86
Wetland,3.51,1.32,13.6,57.46,11.4,0.0,0.0,0.0,0.0,12.72
Natural Grassland,2.92,1.14,3.56,35.2,53.88,0.89,0.0,0.0,0.64,1.78
Pastureland,27.45,1.22,1.98,1.73,3.84,63.47,0.13,0.0,0.13,0.06
Cropland,23.81,0.0,0.0,9.52,9.52,52.38,4.76,0.0,0.0,0.0
Bareland and Impervious,7.69,10.26,0.0,15.38,30.77,25.64,0.0,0.0,0.0,10.26
Rock Outcrop,42.86,2.86,0.0,0.0,31.43,2.86,0.0,0.0,17.14,2.86
Water,3.59,0.0,1.66,3.04,1.1,0.28,0.0,0.0,0.0,90.33
