,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.29,0.17,3.54,0.18,0.37,0.42,0.0,0.0,0.03,0.01
Shrubland,22.46,9.54,4.92,22.15,32.0,4.0,0.0,0.0,4.0,0.92
Flooded Forest,36.1,0.53,44.65,12.3,1.87,0.0,0.0,0.0,0.0,4.55
Wetland,3.96,0.0,12.33,58.15,11.45,0.0,0.0,0.0,0.0,14.1
Natural Grassland,2.93,1.06,2.53,31.52,57.98,1.33,0.0,0.0,0.66,1.99
Pastureland,29.74,1.57,1.57,1.91,5.22,59.4,0.41,0.0,0.17,0.0
Cropland,27.78,0.0,0.0,5.56,11.11,44.44,11.11,0.0,0.0,0.0
Bareland and Impervious,11.76,2.94,0.0,14.71,41.18,23.53,0.0,0.0,0.0,5.88
Rock Outcrop,42.86,0.0,0.0,2.86,31.43,2.86,0.0,0.0,17.14,2.86
Water,3.81,0.0,1.47,4.4,1.17,0.29,0.0,0.0,0.0,88.86
