,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.58,0.11,4.01,0.19,0.37,0.71,0.01,0.0,0.02,0.01
Shrubland,16.61,13.36,5.05,17.33,37.18,5.78,0.0,0.0,4.69,0.0
Flooded Forest,37.74,0.81,44.47,12.4,2.96,0.27,0.0,0.0,0.0,1.35
Wetland,2.6,3.03,11.26,55.84,17.32,1.73,0.0,0.0,0.0,8.23
Natural Grassland,1.96,1.26,2.95,23.28,68.72,1.12,0.0,0.0,0.7,0.0
Pastureland,10.07,0.72,0.91,0.25,2.3,84.2,1.44,0.0,0.08,0.03
Cropland,6.47,0.67,0.0,0.22,4.02,21.88,66.74,0.0,0.0,0.0
Bareland and Impervious,6.25,1.56,1.56,9.38,28.12,43.75,3.12,0.0,0.0,6.25
Rock Outcrop,35.29,2.94,0.0,0.0,32.35,8.82,0.0,0.0,17.65,2.94
Water,2.86,0.26,1.3,3.91,1.04,1.04,0.0,0.0,0.0,89.58
