,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.96,0.05,0.04
Shrubland,0.1,0.31,0.1,0.31,0.15,0.9,0.69
Flooded Forest,0.44,0.16,0.44,0.16,0.23,0.56,0.84
Wetland,0.57,0.21,0.57,0.21,0.31,0.43,0.79
Natural Grassland,0.54,0.59,0.54,0.59,0.56,0.46,0.41
Pastureland,0.63,0.88,0.63,0.88,0.74,0.37,0.12
Cropland,0.05,0.33,0.05,0.33,0.08,0.95,0.67
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.9,0.82,0.9,0.82,0.86,0.1,0.18
