,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,18521.0,24.0,729.0,43.0,62.0,105.0,0.0,0,5.0,2.0,19491,0.95,0.05
Shrubland,58.0,29.0,17.0,73.0,100.0,15.0,0.0,0,13.0,4.0,309,0.09,0.91
Flooded Forest,135.0,3.0,165.0,42.0,8.0,1.0,0.0,0,0.0,17.0,371,0.44,0.56
Wetland,7.0,2.0,29.0,115.0,23.0,3.0,0.0,0,0.0,50.0,229,0.5,0.5
Natural Grassland,21.0,7.0,24.0,264.0,426.0,7.0,0.0,0,5.0,25.0,779,0.55,0.45
Pastureland,441.0,23.0,32.0,34.0,67.0,1742.0,2.0,0,2.0,1.0,2344,0.74,0.26
Cropland,7.0,2.0,0.0,3.0,7.0,20.0,3.0,0,0.0,0.0,42,0.07,0.93
Bareland and Impervious,4.0,2.0,0.0,4.0,14.0,17.0,0.0,0,0.0,4.0,45,0.0,1.0
Rock Outcrop,14.0,0.0,0.0,1.0,11.0,2.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,16.0,0.0,5.0,7.0,6.0,2.0,0.0,0,0.0,340.0,376,0.9,0.1
Total,19224.0,92.0,1001.0,586.0,724.0,1914.0,5.0,0,31.0,444.0,24021,,
Accuracy Producer,0.96,0.32,0.16,0.2,0.59,0.91,0.6,0,0.19,0.77,,,
Omission Error,0.04,0.68,0.84,0.8,0.41,0.09,0.4,0,0.81,0.23,,,
