,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.02,0.14,3.68,0.22,0.34,0.57,0.0,0.0,0.03,0.02
Shrubland,21.12,9.32,4.66,24.84,31.06,4.35,0.0,0.0,4.04,0.62
Flooded Forest,36.93,0.27,42.86,12.67,2.43,0.0,0.0,0.0,0.0,4.85
Wetland,3.48,0.0,12.61,53.48,13.48,0.0,0.0,0.0,0.0,16.96
Natural Grassland,2.92,1.14,3.17,30.08,57.99,0.76,0.0,0.0,0.63,3.3
Pastureland,25.45,1.33,1.6,1.55,3.47,66.33,0.16,0.0,0.11,0.0
Cropland,24.14,3.45,0.0,6.9,13.79,44.83,6.9,0.0,0.0,0.0
Bareland and Impervious,2.33,4.65,0.0,13.95,30.23,32.56,0.0,0.0,0.0,16.28
Rock Outcrop,45.71,0.0,0.0,2.86,31.43,0.0,0.0,0.0,17.14,2.86
Water,3.84,0.0,1.37,3.29,0.82,0.27,0.0,0.0,0.0,90.41
