,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,16606.0,20.0,716.0,35.0,68.0,135.0,0.0,0,4.0,3.0,17587,0.94,0.06
Shrubland,47.0,38.0,14.0,44.0,106.0,18.0,0.0,0,13.0,0.0,280,0.14,0.86
Flooded Forest,139.0,3.0,167.0,46.0,12.0,2.0,0.0,0,0.0,3.0,372,0.45,0.55
Wetland,7.0,6.0,25.0,129.0,46.0,3.0,0.0,0,0.0,15.0,231,0.56,0.44
Natural Grassland,15.0,10.0,25.0,180.0,499.0,7.0,0.0,0,5.0,2.0,743,0.67,0.33
Pastureland,363.0,29.0,31.0,10.0,81.0,3011.0,49.0,0,3.0,2.0,3579,0.84,0.16
Cropland,26.0,3.0,0.0,4.0,16.0,92.0,286.0,0,0.0,0.0,427,0.67,0.33
Bareland and Impervious,4.0,1.0,1.0,7.0,17.0,28.0,1.0,0,0.0,4.0,63,0.0,1.0
Rock Outcrop,14.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,10.0,1.0,5.0,15.0,4.0,3.0,0.0,0,0.0,341.0,379,0.9,0.1
Total,17231.0,112.0,984.0,470.0,860.0,3300.0,336.0,0,31.0,371.0,23695,,
Accuracy Producer,0.96,0.34,0.17,0.27,0.58,0.91,0.85,0,0.19,0.92,,,
Omission Error,0.04,0.66,0.83,0.73,0.42,0.09,0.15,0,0.81,0.08,,,
