,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total
Forest,16214,21,716,34,72,224,2,0,5,1,16789
Shrubland,45,31,14,53,103,19,0,0,12,0,105
Flooded Forest,161,3,173,48,12,1,0,0,0,5,985
Wetland,8,9,25,170,40,5,0,0,0,9,522
Natural Grassland,12,8,18,173,437,8,0,0,5,0,814
Pastureland,283,25,28,16,95,3024,42,0,3,1,3475
Cropland,26,2,1,4,21,159,327,0,0,0,373
Bareland and Impervious,14,4,2,7,18,31,2,0,0,2,0
Rock Outcrop,13,1,0,0,11,2,0,0,6,1,31
Water,13,1,8,17,5,2,0,0,0,358,377
Total,34078,382,1388,788,1475,6992,913,80,65,781,23471
