,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.47,0.11,4.07,0.19,0.39,0.72,0.01,0.0,0.02,0.01
Shrubland,17.31,14.13,4.95,15.9,37.46,5.65,0.0,0.0,4.59,0.0
Flooded Forest,38.07,0.8,44.77,11.53,3.22,0.27,0.0,0.0,0.0,1.34
Wetland,3.48,3.04,10.87,55.22,19.57,0.87,0.0,0.0,0.0,6.96
Natural Grassland,1.99,1.19,3.31,25.83,65.7,0.93,0.0,0.0,0.66,0.4
Pastureland,9.99,0.82,0.93,0.42,2.24,84.06,1.42,0.0,0.08,0.03
Cropland,5.71,0.74,0.0,0.99,3.47,20.84,68.24,0.0,0.0,0.0
Bareland and Impervious,9.38,0.0,1.56,14.06,25.0,42.19,1.56,0.0,0.0,6.25
Rock Outcrop,38.24,2.94,0.0,0.0,32.35,5.88,0.0,0.0,17.65,2.94
Water,2.9,0.26,1.32,2.37,1.32,1.06,0.0,0.0,0.0,90.77
