,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.95,0.05,0.04
Shrubland,0.12,0.35,0.12,0.35,0.18,0.88,0.65
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.62,0.24,0.62,0.24,0.34,0.38,0.76
Natural Grassland,0.57,0.58,0.57,0.58,0.57,0.43,0.42
Pastureland,0.81,0.91,0.81,0.91,0.86,0.19,0.09
Cropland,0.31,0.64,0.31,0.64,0.42,0.69,0.36
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.9,0.91,0.9,0.91,0.09,0.1
