,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.91,0.13,3.77,0.21,0.34,0.6,0.0,0.0,0.03,0.01
Shrubland,18.03,10.49,5.25,23.61,32.79,4.92,0.0,0.0,4.26,0.66
Flooded Forest,37.03,0.27,43.51,10.54,2.43,1.08,0.0,0.0,0.0,5.14
Wetland,3.06,1.75,12.23,51.53,14.41,0.44,0.0,0.0,0.0,16.59
Natural Grassland,2.32,1.16,3.23,34.06,55.35,1.16,0.0,0.0,0.65,2.06
Pastureland,15.98,0.71,1.14,1.38,2.72,77.8,0.2,0.0,0.08,0.0
Cropland,12.73,3.64,0.0,3.64,14.55,50.91,14.55,0.0,0.0,0.0
Bareland and Impervious,10.0,4.0,0.0,12.0,28.0,42.0,0.0,0.0,0.0,4.0
Rock Outcrop,40.0,0.0,0.0,2.86,31.43,5.71,0.0,0.0,17.14,2.86
Water,3.76,0.0,1.61,3.49,1.34,0.27,0.0,0.0,0.0,89.52
