,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.14,0.14,3.69,0.2,0.34,0.43,0.0,0.0,0.02,0.04
Shrubland,21.78,10.12,4.91,23.31,30.98,3.99,0.0,0.0,3.99,0.92
Flooded Forest,36.66,0.54,43.13,11.86,2.43,0.0,0.0,0.0,0.0,5.39
Wetland,3.06,0.0,12.66,55.02,11.79,0.0,0.0,0.0,0.0,17.47
Natural Grassland,2.91,1.27,3.04,32.91,55.44,0.89,0.0,0.0,0.63,2.91
Pastureland,27.53,1.25,1.7,1.48,3.63,64.02,0.23,0.0,0.11,0.06
Cropland,28.0,4.0,0.0,8.0,16.0,36.0,8.0,0.0,0.0,0.0
Bareland and Impervious,2.38,4.76,0.0,11.9,28.57,38.1,0.0,0.0,0.0,14.29
Rock Outcrop,45.71,0.0,0.0,2.86,31.43,0.0,0.0,0.0,17.14,2.86
Water,3.27,0.0,1.09,2.72,1.09,0.27,0.0,0.0,0.0,91.55
