,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.45,0.12,4.06,0.2,0.38,0.77,0.0,0.0,0.02,0.01
Shrubland,16.55,14.79,4.93,15.85,37.32,5.99,0.0,0.0,4.58,0.0
Flooded Forest,38.44,0.81,44.35,11.29,2.96,0.0,0.0,0.0,0.0,2.15
Wetland,3.48,2.61,10.43,55.65,18.26,0.43,0.0,0.0,0.0,9.13
Natural Grassland,1.98,1.45,3.43,26.65,64.38,0.92,0.0,0.0,0.66,0.53
Pastureland,10.81,0.71,1.02,0.48,2.25,83.19,1.42,0.0,0.09,0.03
Cropland,5.54,1.06,0.26,0.53,4.22,20.58,67.81,0.0,0.0,0.0
Bareland and Impervious,9.52,6.35,1.59,9.52,25.4,41.27,1.59,0.0,0.0,4.76
Rock Outcrop,44.12,2.94,0.0,0.0,32.35,0.0,0.0,0.0,17.65,2.94
Water,3.95,0.26,1.32,2.89,0.79,0.53,0.0,0.0,0.0,90.26
