,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,16939.0,21.0,724.0,37.0,66.0,141.0,0.0,0,4.0,2.0,17934,0.94,0.06
Shrubland,46.0,42.0,14.0,49.0,101.0,20.0,0.0,0,13.0,0.0,285,0.15,0.85
Flooded Forest,142.0,3.0,165.0,43.0,11.0,0.0,0.0,0,0.0,8.0,372,0.44,0.56
Wetland,8.0,7.0,25.0,132.0,34.0,1.0,1.0,0,0.0,22.0,230,0.57,0.43
Natural Grassland,15.0,11.0,26.0,215.0,476.0,8.0,0.0,0,5.0,4.0,760,0.63,0.37
Pastureland,383.0,22.0,35.0,17.0,77.0,2913.0,58.0,0,3.0,1.0,3509,0.83,0.17
Cropland,22.0,3.0,0.0,4.0,16.0,68.0,231.0,0,0.0,0.0,344,0.67,0.33
Bareland and Impervious,5.0,3.0,1.0,7.0,15.0,25.0,2.0,0,0.0,2.0,60,0.0,1.0
Rock Outcrop,14.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,12.0,1.0,4.0,9.0,3.0,2.0,0.0,0,0.0,348.0,379,0.92,0.08
Total,17586.0,114.0,994.0,513.0,810.0,3179.0,292.0,0,31.0,388.0,23907,,
Accuracy Producer,0.96,0.37,0.17,0.26,0.59,0.92,0.79,0,0.19,0.9,,,
Omission Error,0.04,0.63,0.83,0.74,0.41,0.08,0.21,0,0.81,0.1,,,
