,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total
Forest,17442,20,737,40,63,150,1,0,5,1,18139
Shrubland,52,32,14,65,99,18,0,0,13,0,91
Flooded Forest,141,2,161,45,9,4,0,0,0,8,993
Wetland,8,4,22,141,28,2,0,0,0,24,602
Natural Grassland,17,7,28,259,447,6,1,0,5,8,757
Pastureland,437,22,25,32,70,2620,40,0,2,0,2883
Cropland,11,1,1,4,11,61,62,0,0,0,104
Bareland and Impervious,4,2,0,9,15,20,0,0,0,1,0
Rock Outcrop,15,0,0,1,11,1,0,0,6,1,31
Water,12,1,5,6,4,1,0,0,0,344,387
Total,36598,384,1363,831,1535,6131,255,51,66,760,23987
