,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.94,0.96,0.94,0.96,0.95,0.06,0.04
Shrubland,0.11,0.36,0.11,0.36,0.17,0.89,0.64
Flooded Forest,0.44,0.17,0.44,0.17,0.24,0.56,0.83
Wetland,0.6,0.23,0.6,0.23,0.33,0.4,0.77
Natural Grassland,0.57,0.58,0.57,0.58,0.58,0.43,0.42
Pastureland,0.84,0.92,0.84,0.92,0.88,0.16,0.08
Cropland,0.59,0.76,0.59,0.76,0.66,0.41,0.24
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.92,0.87,0.92,0.87,0.89,0.08,0.13
