,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17151.0,19.0,732.0,45.0,62.0,136.0,0.0,0,5.0,1.0,18151,0.94,0.06
Shrubland,52.0,30.0,12.0,69.0,98.0,16.0,0.0,0,13.0,0.0,290,0.1,0.9
Flooded Forest,141.0,2.0,166.0,45.0,8.0,0.0,0.0,0,0.0,8.0,370,0.45,0.55
Wetland,8.0,3.0,25.0,137.0,27.0,1.0,0.0,0,0.0,28.0,229,0.6,0.4
Natural Grassland,18.0,6.0,26.0,254.0,442.0,6.0,0.0,0,5.0,13.0,770,0.57,0.43
Pastureland,406.0,19.0,28.0,27.0,66.0,2903.0,31.0,0,2.0,1.0,3483,0.83,0.17
Cropland,17.0,1.0,0.0,5.0,13.0,58.0,106.0,0,0.0,0.0,200,0.53,0.47
Bareland and Impervious,4.0,2.0,0.0,8.0,14.0,24.0,0.0,0,0.0,1.0,53,0.0,1.0
Rock Outcrop,15.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,10.0,1.0,4.0,7.0,5.0,1.0,0.0,0,0.0,346.0,374,0.93,0.07
Total,17822.0,84.0,993.0,597.0,746.0,3146.0,137.0,0,31.0,399.0,23955,,
Accuracy Producer,0.96,0.36,0.17,0.23,0.59,0.92,0.77,0,0.19,0.87,,,
Omission Error,0.04,0.64,0.83,0.77,0.41,0.08,0.23,0,0.81,0.13,,,
