,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.97,0.95,0.97,0.96,0.05,0.03
Shrubland,0.11,0.34,0.11,0.34,0.16,0.89,0.66
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.56,0.22,0.56,0.22,0.31,0.44,0.78
Natural Grassland,0.56,0.58,0.56,0.58,0.57,0.44,0.42
Pastureland,0.8,0.9,0.8,0.9,0.85,0.2,0.1
Cropland,0.28,0.68,0.28,0.68,0.4,0.72,0.32
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.86,0.91,0.86,0.89,0.09,0.14
