,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.16,0.13,3.71,0.2,0.34,0.42,0.0,0.0,0.03,0.01
Shrubland,20.13,8.95,5.43,24.6,31.95,4.15,0.0,0.0,4.15,0.64
Flooded Forest,36.76,0.54,43.51,12.16,1.89,0.81,0.0,0.0,0.0,4.32
Wetland,3.04,0.0,12.61,54.35,14.35,0.43,0.0,0.0,0.0,15.22
Natural Grassland,3.05,0.89,3.05,34.61,54.58,0.76,0.0,0.0,0.64,2.42
Pastureland,23.73,0.94,1.6,1.6,3.1,68.61,0.28,0.0,0.09,0.05
Cropland,25.81,3.23,3.23,0.0,12.9,48.39,6.45,0.0,0.0,0.0
Bareland and Impervious,6.98,2.33,0.0,18.6,27.91,37.21,0.0,0.0,0.0,6.98
Rock Outcrop,42.86,0.0,0.0,2.86,31.43,2.86,0.0,0.0,17.14,2.86
Water,4.05,0.0,1.35,2.7,1.35,0.0,0.0,0.0,0.0,90.54
