,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,16833.0,21.0,724.0,36.0,67.0,137.0,0.0,0,4.0,1.0,17823,0.94,0.06
Shrubland,47.0,42.0,14.0,45.0,106.0,17.0,0.0,0,13.0,0.0,284,0.15,0.85
Flooded Forest,143.0,3.0,165.0,42.0,11.0,0.0,0.0,0,0.0,8.0,372,0.44,0.56
Wetland,8.0,6.0,24.0,128.0,42.0,1.0,0.0,0,0.0,21.0,230,0.56,0.44
Natural Grassland,15.0,11.0,26.0,202.0,488.0,7.0,0.0,0,5.0,4.0,758,0.64,0.36
Pastureland,380.0,25.0,36.0,17.0,79.0,2925.0,50.0,0,3.0,1.0,3516,0.83,0.17
Cropland,21.0,4.0,1.0,2.0,16.0,78.0,257.0,0,0.0,0.0,379,0.68,0.32
Bareland and Impervious,6.0,4.0,1.0,6.0,16.0,26.0,1.0,0,0.0,3.0,63,0.0,1.0
Rock Outcrop,15.0,1.0,0.0,0.0,11.0,0.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,15.0,1.0,5.0,11.0,3.0,2.0,0.0,0,0.0,343.0,380,0.9,0.1
Total,17483.0,118.0,996.0,489.0,839.0,3193.0,308.0,0,31.0,382.0,23839,,
Accuracy Producer,0.96,0.36,0.17,0.26,0.58,0.92,0.83,0,0.19,0.9,,,
Omission Error,0.04,0.64,0.83,0.74,0.42,0.08,0.17,0,0.81,0.1,,,
