,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.49,0.11,3.99,0.22,0.34,0.81,0.01,0.0,0.03,0.01
Shrubland,17.75,10.92,4.78,22.18,33.79,6.14,0.0,0.0,4.44,0.0
Flooded Forest,38.11,0.54,43.51,12.16,2.43,1.08,0.0,0.0,0.0,2.16
Wetland,3.49,1.75,9.61,61.57,12.23,0.87,0.0,0.0,0.0,10.48
Natural Grassland,2.19,0.9,3.6,33.29,57.46,0.77,0.13,0.0,0.64,1.03
Pastureland,13.45,0.68,0.77,0.99,2.16,80.67,1.23,0.0,0.06,0.0
Cropland,7.28,0.66,0.66,2.65,7.28,40.4,41.06,0.0,0.0,0.0
Bareland and Impervious,7.84,3.92,0.0,17.65,29.41,39.22,0.0,0.0,0.0,1.96
Rock Outcrop,42.86,0.0,0.0,2.86,31.43,2.86,0.0,0.0,17.14,2.86
Water,3.22,0.27,1.34,1.61,1.07,0.27,0.0,0.0,0.0,92.23
