,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17085.0,18.0,730.0,44.0,62.0,146.0,0.0,0,4.0,1.0,18090,0.94,0.06
Shrubland,52.0,32.0,13.0,64.0,100.0,16.0,0.0,0,13.0,0.0,290,0.11,0.89
Flooded Forest,140.0,2.0,164.0,42.0,10.0,1.0,0.0,0,0.0,11.0,370,0.44,0.56
Wetland,8.0,5.0,25.0,137.0,29.0,1.0,0.0,0,0.0,24.0,229,0.6,0.4
Natural Grassland,17.0,6.0,25.0,258.0,438.0,6.0,0.0,0,5.0,13.0,768,0.57,0.43
Pastureland,378.0,20.0,28.0,34.0,69.0,2962.0,39.0,0,3.0,0.0,3533,0.84,0.16
Cropland,13.0,1.0,0.0,6.0,12.0,54.0,124.0,0,0.0,0.0,210,0.59,0.41
Bareland and Impervious,5.0,3.0,0.0,7.0,14.0,22.0,0.0,0,0.0,3.0,54,0.0,1.0
Rock Outcrop,15.0,0.0,0.0,1.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,11.0,1.0,4.0,9.0,4.0,1.0,0.0,0,0.0,345.0,375,0.92,0.08
Total,17724.0,88.0,989.0,602.0,749.0,3210.0,163.0,0,31.0,398.0,23954,,
Accuracy Producer,0.96,0.36,0.17,0.23,0.58,0.92,0.76,0,0.19,0.87,,,
Omission Error,0.04,0.64,0.83,0.77,0.42,0.08,0.24,0,0.81,0.13,,,
