,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.94,0.96,0.94,0.96,0.95,0.06,0.04
Shrubland,0.11,0.35,0.11,0.35,0.17,0.89,0.65
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.62,0.23,0.62,0.23,0.33,0.38,0.77
Natural Grassland,0.55,0.57,0.55,0.57,0.56,0.45,0.43
Pastureland,0.83,0.92,0.83,0.92,0.87,0.17,0.08
Cropland,0.61,0.77,0.61,0.77,0.68,0.39,0.23
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.18,0.19,0.18,0.19,0.18,0.82,0.81
Water,0.91,0.87,0.91,0.87,0.89,0.09,0.13
