,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.96,0.05,0.04
Shrubland,0.1,0.32,0.1,0.32,0.15,0.9,0.68
Flooded Forest,0.43,0.16,0.43,0.16,0.23,0.57,0.84
Wetland,0.52,0.21,0.52,0.21,0.29,0.48,0.79
Natural Grassland,0.56,0.59,0.56,0.59,0.58,0.44,0.41
Pastureland,0.75,0.92,0.75,0.92,0.82,0.25,0.08
Cropland,0.13,0.67,0.13,0.67,0.22,0.87,0.33
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.77,0.91,0.77,0.84,0.09,0.23
