,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.94,0.97,0.94,0.97,0.95,0.06,0.03
Shrubland,0.11,0.3,0.11,0.3,0.16,0.89,0.7
Flooded Forest,0.43,0.18,0.43,0.18,0.25,0.57,0.82
Wetland,0.64,0.33,0.64,0.33,0.43,0.36,0.67
Natural Grassland,0.66,0.54,0.66,0.54,0.59,0.34,0.46
Pastureland,0.86,0.87,0.86,0.87,0.86,0.14,0.13
Cropland,0.61,0.88,0.61,0.88,0.72,0.39,0.12
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.18,0.19,0.18,0.19,0.18,0.82,0.81
Water,0.89,0.95,0.89,0.95,0.92,0.11,0.05
