,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.97,0.95,0.97,0.96,0.05,0.03
Shrubland,0.1,0.35,0.1,0.35,0.16,0.9,0.65
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.49,0.2,0.49,0.2,0.28,0.51,0.8
Natural Grassland,0.54,0.58,0.54,0.58,0.56,0.46,0.42
Pastureland,0.8,0.91,0.8,0.91,0.85,0.2,0.09
Cropland,0.23,0.68,0.23,0.68,0.35,0.77,0.32
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.92,0.76,0.92,0.76,0.84,0.08,0.24
