,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17384.0,39.0,610.0,31.0,69.0,82.0,0.0,0,5.0,0.0,18220,0.95,0.05
Shrubland,69.0,34.0,17.0,70.0,103.0,13.0,0.0,0,13.0,1.0,320,0.11,0.89
Flooded Forest,137.0,2.0,165.0,47.0,9.0,0.0,0.0,0,0.0,14.0,374,0.44,0.56
Wetland,11.0,0.0,28.0,129.0,42.0,0.0,0.0,0,0.0,21.0,231,0.56,0.44
Natural Grassland,26.0,10.0,17.0,177.0,436.0,11.0,0.0,0,5.0,14.0,696,0.63,0.37
Pastureland,320.0,18.0,16.0,21.0,62.0,600.0,6.0,0,2.0,0.0,1045,0.57,0.43
Cropland,5.0,0.0,0.0,1.0,1.0,8.0,1.0,0,0.0,0.0,16,0.06,0.94
Bareland and Impervious,3.0,0.0,0.0,5.0,12.0,8.0,0.0,0,0.0,1.0,29,0.0,1.0
Rock Outcrop,15.0,0.0,0.0,1.0,11.0,1.0,0.0,0,5.0,1.0,34,0.15,0.85
Water,11.0,0.0,5.0,13.0,4.0,1.0,0.0,0,0.0,274.0,308,0.89,0.11
Total,17981.0,103.0,858.0,495.0,749.0,724.0,7.0,0,30.0,326.0,21273,,
Accuracy Producer,0.97,0.33,0.19,0.26,0.58,0.83,0.14,0,0.17,0.84,,,
Omission Error,0.03,0.67,0.81,0.74,0.42,0.17,0.86,0,0.83,0.16,,,
