,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.13,0.14,3.69,0.21,0.34,0.44,0.0,0.0,0.02,0.02
Shrubland,22.7,9.51,5.21,22.7,30.67,4.6,0.0,0.0,3.99,0.61
Flooded Forest,36.93,0.54,43.94,12.13,1.89,0.0,0.0,0.0,0.0,4.58
Wetland,3.49,0.0,12.66,58.52,9.17,0.0,0.0,0.0,0.0,16.16
Natural Grassland,2.92,1.14,3.05,33.29,56.67,0.89,0.0,0.0,0.64,1.4
Pastureland,29.98,1.28,1.57,1.63,3.73,61.47,0.17,0.0,0.12,0.06
Cropland,28.0,0.0,0.0,8.0,16.0,36.0,12.0,0.0,0.0,0.0
Bareland and Impervious,2.5,2.5,0.0,17.5,27.5,42.5,0.0,0.0,0.0,7.5
Rock Outcrop,42.86,5.71,0.0,0.0,31.43,0.0,0.0,0.0,17.14,2.86
Water,3.55,0.0,1.09,2.46,1.37,0.55,0.0,0.0,0.0,90.98
