,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.96,0.05,0.04
Shrubland,0.1,0.33,0.1,0.33,0.15,0.9,0.67
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.59,0.22,0.59,0.22,0.32,0.41,0.78
Natural Grassland,0.57,0.6,0.57,0.6,0.58,0.43,0.4
Pastureland,0.61,0.88,0.61,0.88,0.73,0.39,0.12
Cropland,0.12,0.5,0.12,0.5,0.19,0.88,0.5
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.81,0.91,0.81,0.86,0.09,0.19
