,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.49,0.1,4.03,0.25,0.34,0.75,0.0,0.0,0.03,0.01
Shrubland,17.93,10.34,4.14,23.79,33.79,5.52,0.0,0.0,4.48,0.0
Flooded Forest,38.11,0.54,44.86,12.16,2.16,0.0,0.0,0.0,0.0,2.16
Wetland,3.49,1.31,10.92,59.83,11.79,0.44,0.0,0.0,0.0,12.23
Natural Grassland,2.34,0.78,3.38,32.99,57.4,0.78,0.0,0.0,0.65,1.69
Pastureland,11.66,0.55,0.8,0.78,1.89,83.35,0.89,0.0,0.06,0.03
Cropland,8.5,0.5,0.0,2.5,6.5,29.0,53.0,0.0,0.0,0.0
Bareland and Impervious,7.55,3.77,0.0,15.09,26.42,45.28,0.0,0.0,0.0,1.89
Rock Outcrop,42.86,2.86,0.0,0.0,31.43,2.86,0.0,0.0,17.14,2.86
Water,2.67,0.27,1.07,1.87,1.34,0.27,0.0,0.0,0.0,92.51
