,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,93.78,0.12,4.14,0.2,0.42,1.3,0.01,0.0,0.03,0.01
Shrubland,16.25,11.19,5.05,19.13,37.18,6.86,0.0,0.0,4.33,0.0
Flooded Forest,39.95,0.74,42.93,11.91,2.98,0.25,0.0,0.0,0.0,1.24
Wetland,3.01,3.38,9.4,63.91,15.04,1.88,0.0,0.0,0.0,3.38
Natural Grassland,1.82,1.21,2.72,26.17,66.11,1.21,0.0,0.0,0.76,0.0
Pastureland,8.05,0.71,0.8,0.45,2.7,85.98,1.19,0.0,0.09,0.03
Cropland,4.81,0.37,0.19,0.74,3.89,29.44,60.56,0.0,0.0,0.0
Bareland and Impervious,17.5,5.0,2.5,8.75,22.5,38.75,2.5,0.0,0.0,2.5
Rock Outcrop,38.24,2.94,0.0,0.0,32.35,5.88,0.0,0.0,17.65,2.94
Water,3.22,0.25,1.98,4.21,1.24,0.5,0.0,0.0,0.0,88.61
