,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.94,0.96,0.94,0.96,0.95,0.06,0.04
Shrubland,0.14,0.34,0.14,0.34,0.19,0.86,0.66
Flooded Forest,0.45,0.17,0.45,0.17,0.25,0.55,0.83
Wetland,0.56,0.27,0.56,0.27,0.37,0.44,0.73
Natural Grassland,0.67,0.58,0.67,0.58,0.62,0.33,0.42
Pastureland,0.84,0.91,0.84,0.91,0.88,0.16,0.09
Cropland,0.67,0.85,0.67,0.85,0.75,0.33,0.15
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.18,0.19,0.18,0.19,0.18,0.82,0.81
Water,0.9,0.92,0.9,0.92,0.91,0.1,0.08
