,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,18870.0,28.0,734.0,41.0,67.0,100.0,0.0,0,5.0,3.0,19848,0.95,0.05
Shrubland,64.0,28.0,15.0,80.0,98.0,15.0,0.0,0,13.0,4.0,317,0.09,0.91
Flooded Forest,136.0,1.0,161.0,46.0,7.0,2.0,0.0,0,0.0,18.0,371,0.43,0.57
Wetland,8.0,0.0,30.0,122.0,30.0,0.0,0.0,0,0.0,40.0,230,0.53,0.47
Natural Grassland,24.0,7.0,24.0,254.0,442.0,5.0,0.0,0,5.0,24.0,785,0.56,0.44
Pastureland,499.0,22.0,32.0,33.0,63.0,1350.0,1.0,0,2.0,1.0,2003,0.67,0.33
Cropland,6.0,1.0,0.0,2.0,4.0,15.0,2.0,0,0.0,0.0,30,0.07,0.93
Bareland and Impervious,3.0,1.0,0.0,6.0,13.0,15.0,0.0,0,0.0,4.0,42,0.0,1.0
Rock Outcrop,16.0,0.0,0.0,1.0,11.0,0.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,14.0,0.0,5.0,9.0,5.0,0.0,0.0,0,0.0,337.0,370,0.91,0.09
Total,19640.0,88.0,1001.0,594.0,740.0,1502.0,3.0,0,31.0,432.0,24031,,
Accuracy Producer,0.96,0.32,0.16,0.21,0.6,0.9,0.67,0,0.19,0.78,,,
Omission Error,0.04,0.68,0.84,0.79,0.4,0.1,0.33,0,0.81,0.22,,,
