,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.94,0.96,0.94,0.96,0.95,0.06,0.04
Shrubland,0.12,0.31,0.12,0.31,0.17,0.88,0.69
Flooded Forest,0.44,0.18,0.44,0.18,0.26,0.56,0.82
Wetland,0.64,0.33,0.64,0.33,0.44,0.36,0.67
Natural Grassland,0.68,0.54,0.68,0.54,0.6,0.32,0.46
Pastureland,0.85,0.88,0.85,0.88,0.86,0.15,0.12
Cropland,0.6,0.85,0.6,0.85,0.7,0.4,0.15
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.18,0.19,0.18,0.19,0.18,0.82,0.81
Water,0.89,0.95,0.89,0.95,0.92,0.11,0.05
