,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17042.0,18.0,729.0,42.0,64.0,157.0,0.0,0,4.0,2.0,18058,0.94,0.06
Shrubland,48.0,33.0,12.0,64.0,100.0,17.0,0.0,0,13.0,0.0,287,0.11,0.89
Flooded Forest,141.0,2.0,165.0,39.0,11.0,1.0,0.0,0,0.0,11.0,370,0.45,0.55
Wetland,8.0,5.0,24.0,137.0,24.0,1.0,0.0,0,0.0,30.0,229,0.6,0.4
Natural Grassland,16.0,7.0,24.0,251.0,444.0,6.0,0.0,0,5.0,12.0,765,0.58,0.42
Pastureland,362.0,23.0,31.0,32.0,72.0,2978.0,40.0,0,3.0,1.0,3542,0.84,0.16
Cropland,12.0,1.0,0.0,6.0,12.0,56.0,143.0,0,0.0,0.0,230,0.62,0.38
Bareland and Impervious,4.0,4.0,0.0,8.0,14.0,20.0,1.0,0,0.0,3.0,54,0.0,1.0
Rock Outcrop,14.0,0.0,0.0,1.0,11.0,1.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,13.0,1.0,4.0,7.0,4.0,2.0,0.0,0,0.0,345.0,376,0.92,0.08
Total,17660.0,94.0,989.0,587.0,756.0,3239.0,184.0,0,31.0,405.0,23945,,
Accuracy Producer,0.97,0.35,0.17,0.23,0.59,0.92,0.78,0,0.19,0.85,,,
Omission Error,0.03,0.65,0.83,0.77,0.41,0.08,0.22,0,0.81,0.15,,,
