,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,19323.0,32.0,745.0,41.0,71.0,87.0,0.0,0,5.0,3.0,20307,0.95,0.05
Shrubland,74.0,32.0,17.0,71.0,106.0,15.0,0.0,0,13.0,2.0,330,0.1,0.9
Flooded Forest,135.0,2.0,162.0,46.0,7.0,0.0,0.0,0,0.0,18.0,370,0.44,0.56
Wetland,8.0,3.0,31.0,131.0,26.0,0.0,0.0,0,0.0,29.0,228,0.57,0.43
Natural Grassland,23.0,9.0,28.0,277.0,424.0,7.0,0.0,0,5.0,14.0,787,0.54,0.46
Pastureland,429.0,19.0,31.0,27.0,60.0,992.0,2.0,0,2.0,1.0,1563,0.63,0.37
Cropland,5.0,0.0,0.0,2.0,2.0,11.0,1.0,0,0.0,0.0,21,0.05,0.95
Bareland and Impervious,3.0,4.0,0.0,6.0,12.0,10.0,0.0,0,0.0,4.0,39,0.0,1.0
Rock Outcrop,15.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,13.0,0.0,6.0,11.0,4.0,1.0,0.0,0,0.0,327.0,362,0.9,0.1
Total,20028.0,102.0,1020.0,612.0,723.0,1124.0,3.0,0,31.0,399.0,24042,,
Accuracy Producer,0.96,0.31,0.16,0.21,0.59,0.88,0.33,0,0.19,0.82,,,
Omission Error,0.04,0.69,0.84,0.79,0.41,0.12,0.67,0,0.81,0.18,,,
