,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,18974.0,27.0,734.0,43.0,68.0,114.0,0.0,0,5.0,4.0,19969,0.95,0.05
Shrubland,68.0,30.0,15.0,80.0,100.0,14.0,0.0,0,13.0,2.0,322,0.09,0.91
Flooded Forest,137.0,1.0,159.0,47.0,9.0,0.0,0.0,0,0.0,18.0,371,0.43,0.57
Wetland,8.0,0.0,29.0,123.0,31.0,0.0,0.0,0,0.0,39.0,230,0.53,0.47
Natural Grassland,23.0,9.0,25.0,237.0,457.0,6.0,0.0,0,5.0,26.0,788,0.58,0.42
Pastureland,477.0,25.0,30.0,29.0,65.0,1243.0,3.0,0,2.0,0.0,1874,0.66,0.34
Cropland,7.0,1.0,0.0,2.0,4.0,13.0,2.0,0,0.0,0.0,29,0.07,0.93
Bareland and Impervious,1.0,2.0,0.0,6.0,13.0,14.0,0.0,0,0.0,7.0,43,0.0,1.0
Rock Outcrop,16.0,0.0,0.0,1.0,11.0,0.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,14.0,0.0,5.0,12.0,3.0,1.0,0.0,0,0.0,330.0,365,0.9,0.1
Total,19725.0,95.0,997.0,580.0,761.0,1405.0,5.0,0,31.0,427.0,24026,,
Accuracy Producer,0.96,0.32,0.16,0.21,0.6,0.88,0.4,0,0.19,0.77,,,
Omission Error,0.04,0.68,0.84,0.79,0.4,0.12,0.6,0,0.81,0.23,,,
