,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total
Forest,18172,23,728,42,64,140,0,0,5,2,18807
Shrubland,55,31,16,72,99,16,0,0,13,3,88
Flooded Forest,137,2,161,40,8,4,0,0,0,18,987
Wetland,7,3,25,113,30,1,0,0,0,50,579
Natural Grassland,19,8,22,263,419,8,0,0,5,28,723
Pastureland,378,17,30,33,66,2106,7,0,2,1,2327
Cropland,9,2,0,2,8,28,15,0,0,0,22
Bareland and Impervious,4,2,0,6,15,20,0,0,0,3,0
Rock Outcrop,14,0,0,1,11,2,0,0,6,1,31
Water,12,0,5,7,3,2,0,0,0,345,451
Total,37983,393,1357,808,1495,4967,86,50,66,825,24015
