,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17615.0,22.0,740.0,37.0,64.0,134.0,0.0,0,5.0,1.0,18618,0.95,0.05
Shrubland,53.0,35.0,15.0,61.0,103.0,16.0,0.0,0,13.0,0.0,296,0.12,0.88
Flooded Forest,141.0,2.0,161.0,44.0,10.0,3.0,0.0,0,0.0,9.0,370,0.44,0.56
Wetland,8.0,6.0,19.0,142.0,34.0,3.0,0.0,0,0.0,18.0,230,0.62,0.38
Natural Grassland,18.0,8.0,27.0,268.0,441.0,6.0,1.0,0,5.0,4.0,778,0.57,0.43
Pastureland,435.0,23.0,25.0,30.0,70.0,2515.0,20.0,0,2.0,1.0,3121,0.81,0.19
Cropland,11.0,1.0,1.0,3.0,10.0,59.0,38.0,0,0.0,0.0,123,0.31,0.69
Bareland and Impervious,5.0,1.0,0.0,9.0,13.0,19.0,0.0,0,0.0,3.0,50,0.0,1.0
Rock Outcrop,15.0,0.0,0.0,1.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,12.0,1.0,5.0,8.0,5.0,1.0,0.0,0,0.0,340.0,372,0.91,0.09
Total,18313.0,99.0,993.0,603.0,761.0,2757.0,59.0,0,31.0,377.0,23993,,
Accuracy Producer,0.96,0.35,0.16,0.24,0.58,0.91,0.64,0,0.19,0.9,,,
Omission Error,0.04,0.65,0.84,0.76,0.42,0.09,0.36,0,0.81,0.1,,,
