,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.94,0.96,0.94,0.96,0.95,0.06,0.04
Shrubland,0.11,0.35,0.11,0.35,0.17,0.89,0.65
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.62,0.23,0.62,0.23,0.34,0.38,0.77
Natural Grassland,0.57,0.59,0.57,0.59,0.58,0.43,0.41
Pastureland,0.81,0.91,0.81,0.91,0.85,0.19,0.09
Cropland,0.41,0.6,0.41,0.6,0.49,0.59,0.4
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.92,0.89,0.92,0.89,0.91,0.08,0.11
