,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.44,0.1,4.04,0.24,0.34,0.81,0.0,0.0,0.02,0.01
Shrubland,17.93,11.03,4.48,22.07,34.48,5.52,0.0,0.0,4.48,0.0
Flooded Forest,37.84,0.54,44.32,11.35,2.7,0.27,0.0,0.0,0.0,2.97
Wetland,3.49,2.18,10.92,59.83,12.66,0.44,0.0,0.0,0.0,10.48
Natural Grassland,2.21,0.78,3.26,33.59,57.03,0.78,0.0,0.0,0.65,1.69
Pastureland,10.7,0.57,0.79,0.96,1.95,83.84,1.1,0.0,0.08,0.0
Cropland,6.19,0.48,0.0,2.86,5.71,25.71,59.05,0.0,0.0,0.0
Bareland and Impervious,9.26,5.56,0.0,12.96,25.93,40.74,0.0,0.0,0.0,5.56
Rock Outcrop,42.86,0.0,0.0,2.86,31.43,2.86,0.0,0.0,17.14,2.86
Water,2.93,0.27,1.07,2.4,1.07,0.27,0.0,0.0,0.0,92.0
